,participant,condition,list,trial_id,phase,target,foil,distractor,target_to_distractor,target_to_foil,distractor_to_target,distractor_to_foil,foil_to_target,foil_to_distractor,informative_target,informative_foil
0,P24,ambig,D,D7,start,chair2,chair1,kangaroo,0,0,0,1,0,0,True,True
0,P24,ambig,D,D7,elmo,chair2,chair1,kangaroo,1,1,2,0,2,0,True,True
0,P24,ambig,D,D7,500ms pause,chair2,chair1,kangaroo,0,0,0,0,0,0,True,True
0,P24,ambig,D,D7,peppa,chair2,chair1,kangaroo,0,0,0,1,1,1,True,True
0,P24,control,D,D9,start,fish2,flower1,playdoh,0,1,1,0,1,0,True,True
0,P24,control,D,D9,elmo,fish2,flower1,playdoh,1,0,0,1,1,0,True,True
0,P24,control,D,D9,500ms pause,fish2,flower1,playdoh,0,0,0,0,0,0,True,True
0,P24,control,D,D9,peppa,fish2,flower1,playdoh,0,1,0,1,0,1,True,True
0,P24,ambig,D,D8,start,dog2,dog1,rainbow,1,1,0,2,2,0,True,True
0,P24,ambig,D,D8,elmo,dog2,dog1,rainbow,1,0,2,0,0,0,True,True
0,P24,ambig,D,D8,500ms pause,dog2,dog1,rainbow,0,0,0,0,0,0,True,True
0,P24,ambig,D,D8,peppa,dog2,dog1,rainbow,0,2,0,0,0,0,True,True
0,P24,control,D,D14,start,spoon2,toothbrush1,comb,2,1,0,2,2,1,False,True
0,P24,control,D,D14,elmo,spoon2,toothbrush1,comb,0,1,4,0,0,1,False,True
0,P24,control,D,D14,500ms pause,spoon2,toothbrush1,comb,0,0,0,0,0,0,False,True
0,P24,control,D,D14,peppa,spoon2,toothbrush1,comb,0,5,1,0,2,1,False,True
0,P24,control,D,D16,start,tree2,fish1,pencil,0,2,0,1,2,0,True,True
0,P24,control,D,D16,elmo,tree2,fish1,pencil,0,0,0,0,2,0,True,True
0,P24,control,D,D16,500ms pause,tree2,fish1,pencil,0,0,0,0,0,0,True,True
0,P24,control,D,D16,peppa,tree2,fish1,pencil,0,2,0,0,1,0,True,True
0,P24,ambig,D,D3,start,book2,book1,apple,1,0,0,2,1,0,True,True
0,P24,ambig,D,D3,elmo,book2,book1,apple,0,2,2,0,1,1,True,True
0,P24,ambig,D,D3,500ms pause,book2,book1,apple,0,0,0,0,0,0,True,True
0,P24,ambig,D,D3,peppa,book2,book1,apple,0,2,0,0,2,0,True,True
0,P24,ambig,D,D6,start,cat2,cat1,hairbrush,1,0,1,1,1,1,True,True
0,P24,ambig,D,D6,elmo,cat2,cat1,hairbrush,0,1,0,0,0,0,True,True
0,P24,ambig,D,D6,500ms pause,cat2,cat1,hairbrush,0,0,0,0,0,0,True,True
0,P24,ambig,D,D6,peppa,cat2,cat1,hairbrush,0,1,0,0,1,0,True,True
0,P24,control,D,D15,start,toothbrush2,tree1,door,1,0,0,0,0,0,True,False
0,P24,control,D,D15,elmo,toothbrush2,tree1,door,4,0,2,0,0,0,True,False
0,P24,control,D,D15,500ms pause,toothbrush2,tree1,door,0,0,0,0,0,0,True,False
0,P24,control,D,D15,peppa,toothbrush2,tree1,door,0,2,0,0,0,0,True,False
0,P24,ambig,D,D4,start,bus2,bus1,flashlight,1,0,0,1,2,0,True,True
0,P24,ambig,D,D4,elmo,bus2,bus1,flashlight,0,5,0,0,3,0,True,True
0,P24,ambig,D,D4,500ms pause,bus2,bus1,flashlight,0,0,0,0,0,0,True,True
0,P24,ambig,D,D4,peppa,bus2,bus1,flashlight,0,1,0,0,1,0,True,True
0,P24,control,D,D10,start,flower2,cup1,cane,0,1,1,1,1,1,True,True
0,P24,control,D,D10,elmo,flower2,cup1,cane,0,0,0,0,0,0,True,True
0,P24,control,D,D10,500ms pause,flower2,cup1,cane,0,0,0,0,0,0,True,True
0,P24,control,D,D10,peppa,flower2,cup1,cane,0,1,0,2,2,1,True,True
0,P24,control,D,D11,start,cup2,clock1,cake,0,0,0,1,0,1,True,True
0,P24,control,D,D11,elmo,cup2,clock1,cake,3,0,1,0,0,0,True,True
0,P24,control,D,D11,500ms pause,cup2,clock1,cake,0,0,0,1,0,0,True,True
0,P24,control,D,D11,peppa,cup2,clock1,cake,0,1,0,1,0,1,True,True
0,P24,ambig,D,D2,start,bird2,bird1,playground,0,1,0,1,2,0,True,True
0,P24,ambig,D,D2,elmo,bird2,bird1,playground,2,1,2,0,2,0,True,True
0,P24,ambig,D,D2,500ms pause,bird2,bird1,playground,0,0,0,0,0,0,True,True
0,P24,ambig,D,D2,peppa,bird2,bird1,playground,0,1,0,2,2,1,True,True
0,P24,control,D,D13,start,shoe2,spoon1,paintbrush,1,0,0,1,1,0,True,True
0,P24,control,D,D13,elmo,shoe2,spoon1,paintbrush,0,0,0,0,0,0,True,True
0,P24,control,D,D13,500ms pause,shoe2,spoon1,paintbrush,0,0,0,0,0,0,True,True
0,P24,control,D,D13,peppa,shoe2,spoon1,paintbrush,0,1,0,0,1,1,True,True
0,P24,ambig,D,D5,start,car2,car1,dolphin,2,0,1,1,0,0,True,True
0,P24,ambig,D,D5,elmo,car2,car1,dolphin,4,0,5,0,0,0,True,True
0,P24,ambig,D,D5,500ms pause,car2,car1,dolphin,0,0,0,0,0,0,True,True
0,P24,ambig,D,D5,peppa,car2,car1,dolphin,0,3,0,2,8,0,True,True
0,P24,ambig,D,D1,start,bike2,bike1,candle,3,0,1,2,2,0,True,True
0,P24,ambig,D,D1,elmo,bike2,bike1,candle,0,1,1,0,2,1,True,True
0,P24,ambig,D,D1,500ms pause,bike2,bike1,candle,0,0,0,0,0,0,True,True
0,P24,ambig,D,D1,peppa,bike2,bike1,candle,0,3,0,1,2,1,True,True
0,P20,control,A,A14,start,cat1,chair2,hairbrush,0,1,0,0,0,1,False,False
0,P20,control,A,A14,elmo,cat1,chair2,hairbrush,0,0,2,0,0,0,False,False
0,P20,control,A,A14,500ms pause,cat1,chair2,hairbrush,0,0,0,0,0,0,False,False
0,P20,control,A,A14,peppa,cat1,chair2,hairbrush,0,0,0,1,0,1,False,False
0,P20,ambig,A,A2,start,flower1,flower2,cane,1,1,2,0,0,1,False,False
0,P20,ambig,A,A2,elmo,flower1,flower2,cane,1,5,0,0,5,0,False,False
0,P20,ambig,A,A2,500ms pause,flower1,flower2,cane,0,0,0,0,0,0,False,False
0,P20,ambig,A,A2,peppa,flower1,flower2,cane,0,2,0,0,2,0,False,False
0,P20,ambig,A,A7,start,toothbrush1,toothbrush2,door,0,1,2,0,0,2,False,False
0,P20,ambig,A,A7,elmo,toothbrush1,toothbrush2,door,0,1,0,0,0,0,False,False
0,P20,ambig,A,A7,500ms pause,toothbrush1,toothbrush2,door,0,0,0,0,0,0,False,False
0,P20,ambig,A,A7,peppa,toothbrush1,toothbrush2,door,0,4,0,0,2,0,False,False
0,P20,ambig,A,A4,start,cup1,cup2,dress,1,0,1,1,0,0,False,True
0,P20,ambig,A,A4,elmo,cup1,cup2,dress,0,4,2,0,1,0,False,True
0,P20,ambig,A,A4,500ms pause,cup1,cup2,dress,0,0,0,0,0,1,False,True
0,P20,ambig,A,A4,peppa,cup1,cup2,dress,0,4,0,2,2,0,False,True
0,P20,control,A,A12,start,bus1,car2,flashlight,2,1,1,0,2,0,False,False
