condition,List,participant,phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space
ambig,D,P36,elmo,6,D5,car2,car1,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P36,elmo,7,D6,cat2,cat1,brush,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P36,elmo,8,D10,flower2,cup1,cane,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,D,P36,elmo,9,D2,bird2,bird1,playground,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P36,elmo,10,D16,tree2,fish1,pencil,0,1,1,0,0,1,0,0,0,0,0,0,0,0
control,D,P36,elmo,11,D13,shoe2,spoon1,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P36,elmo,12,D12,clock2,shoe1,dress,0,0,1,0,0,0,0,0,0,0,0,0,0,0
control,D,P36,elmo,13,D15,toothbrush2,tree1,door,0,1,1,0,0,0,0,0,0,0,0,0,0,0
control,D,P36,elmo,14,D14,spoon2,toothbrush1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P36,elmo,15,D8,dog2,dog1,rainbow,1,1,1,0,1,0,0,0,0,0,1,0,0,0
control,D,P36,elmo,16,D9,fish2,flower1,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P13,elmo,1,A1,fish1,fish2,playdoh,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P13,elmo,2,A3,clock1,clock2,cake,1,1,0,1,1,0,0,0,0,0,0,0,0,0
ambig,A,P13,elmo,3,A6,spoon1,spoon2,comb,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P13,elmo,4,A8,flower1,tree2,pencl,1,1,0,0,0,1,0,0,0,0,0,0,0,0
control,A,P13,elmo,5,A14,cat1,chair2,hairbrush,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P13,elmo,6,A16,dog1,bike2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P13,elmo,7,A7,toothbrush1,toothbrush2,door,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ambig,A,P13,elmo,8,A4,cup1,cup2,dress,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P13,elmo,9,A11,book2,bird1,playground,1,1,0,0,0,0,0,0,1,0,0,0,0,0
control,A,P13,elmo,10,A9,bike1,bird2,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P13,elmo,11,A10,book1,bus2,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P13,elmo,12,A2,flower2,flower1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P13,elmo,13,A12,bus1,car2,flashlight,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P13,elmo,14,A15,chair1,dog2,kangaroo,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P13,elmo,15,A5,shoe1,shoe2,paintbrush,1,1,0,0,0,0,0,0,0,0,1,0,0,0
control,A,P13,elmo,16,A13,car1,cat2,dolphin,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P23,elmo,1,C11,cup1,clock2,cake,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ambig,C,P23,elmo,2,C1,bike1,bike2,candle,0,0,0,0,0,0,1,0,1,0,0,0,0,0
control,C,P23,elmo,3,C12,clock1,shoe2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P23,elmo,4,C4,bus1,bus2,torch,0,0,1,0,0,0,1,0,0,0,0,0,0,0
control,C,P23,elmo,5,C14,spoon1,toothbrush2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P23,elmo,6,C5,car1,car2,dolphin,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ambig,C,P23,elmo,7,C2,bird1,bird2,playground,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P23,elmo,8,C3,book1,book2,apple,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P23,elmo,9,C8,dog1,dog2,rainbow,0,0,0,0,0,0,0,0,0,0,1,0,0,0
control,C,P23,elmo,10,C16,tree1,fish2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P23,elmo,11,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,1,0,0,0,1,0
control,C,P23,elmo,12,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P23,elmo,13,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,C,P23,elmo,14,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P23,elmo,15,C7,chair1,chair2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P23,elmo,16,C6,cat1,cat2,brush,0,0,1,0,0,0,0,0,1,0,0,0,0,0
control,B,P18,elmo,1,B14,cat2,chair1,hairbrush,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ambig,B,P18,elmo,2,B5,shoe2,shoe1,paintbrush,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ambig,B,P18,elmo,3,B4,cup2,cup1,dress,0,0,0,0,0,1,1,0,0,0,0,0,0,0
control,B,P18,elmo,4,B10,bird2,book1,playground,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ambig,B,P18,elmo,5,B2,flower2,flower1,cane,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P18,elmo,6,B8,tree2,flower1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P18,elmo,7,B15,chair2,dog1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P18,elmo,8,B3,clock2,clock1,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P18,elmo,9,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P18,elmo,10,B7,toothbrush2,toothbrush1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P18,elmo,11,B13,car2,cat1,dolphin,0,0,0,0,0,0,0,0,1,0,0,0,0,0
control,B,P18,elmo,12,B12,bus2,car1,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P18,elmo,13,B16,dog2,bike1,rainbow,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P18,elmo,14,B1,fish2,fish1,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P18,elmo,15,B11,book2,bus1,apple,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,B,P18,elmo,16,B6,spoon2,spoon1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P21,elmo,1,D1,bike2,bike1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P21,elmo,2,D10,flower2,cup1,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P21,elmo,3,D6,cat2,cat1,brush,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ambig,D,P21,elmo,4,D2,bird2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P21,elmo,5,D16,tree2,fish1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P21,elmo,6,D15,toothbrush2,tree1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P21,elmo,7,D7,chair2,chair1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P21,elmo,8,D3,book2,book1,apple,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ambig,D,P21,elmo,9,D4,bus2,bus1,torch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P21,elmo,10,D13,shoe2,spoon1,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P21,elmo,11,D5,car2,car1,dolphin,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,D,P21,elmo,12,D8,dog2,dog1,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P21,elmo,13,D12,clock2,shoe1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P21,elmo,14,D11,cup2,clock1,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P21,elmo,15,D9,fish2,flower1,playdoh,0,0,0,0,0,0,0,0,0,1,0,0,0,0
control,D,P21,elmo,16,D14,spoon2,toothbrush1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P20,elmo,1,A16,dog1,bike2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P20,elmo,2,A15,chair1,dog2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P20,elmo,3,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P20,elmo,4,A1,fish1,fish2,playdoh,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,A,P20,elmo,5,A7,toothbrush1,toothbrush2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P20,elmo,6,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P20,elmo,7,A10,book1,bus2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P20,elmo,8,A3,clock1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P20,elmo,9,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P20,elmo,10,A4,cup1,cup2,dress,0,1,0,0,0,0,1,0,0,0,0,0,0,0
control,A,P20,elmo,11,A14,cat1,chair2,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P20,elmo,12,A13,car1,cat2,dolphin,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P20,elmo,13,A2,flower2,flower1,cane,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ambig,A,P20,elmo,14,A5,shoe1,shoe2,paintbrush,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P20,elmo,15,A6,spoon1,spoon2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P20,elmo,16,A8,flower1,tree2,pencil,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P02,elmo,1,B5,shoe2,shoe1,paintbrush,0,0,0,0,0,0,0,1,0,0,0,0,0,0
control,B,P02,elmo,2,B13,car2,cat1,dolphin,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ambig,B,P02,elmo,3,B2,flower2,flower1,cane,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ambig,B,P02,elmo,4,B4,cup2,cup1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P02,elmo,5,B16,dog2,bike1,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P02,elmo,6,B10,bird2,book1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P02,elmo,7,B14,cat2,chair1,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P02,elmo,8,B3,clock2,clock1,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P02,elmo,9,B7,toothbrush2,toothbrush1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P02,elmo,10,B11,book2,bus1,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P02,elmo,11,B6,spoon2,spoon1,comb,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ambig,B,P02,elmo,12,B1,fish2,fish1,chair,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P02,elmo,13,B15,chair2,dog1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P02,elmo,14,B12,bus2,car1,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P11,elmo,1,C12,clock1,shoe2,dress,None,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P11,elmo,2,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P11,elmo,3,C3,book1,book2,apple,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ambig,C,P11,elmo,4,C6,cat1,cat2,brush,1,0,1,0,0,1,0,0,0,0,0,0,0,0
ambig,C,P11,elmo,5,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P11,elmo,6,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P11,elmo,7,C14,spoon1,toothbrush2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P11,elmo,8,C2,bird1,bird2,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P11,elmo,9,C5,car1,car2,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P11,elmo,10,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P11,elmo,11,C10,flower1,cup2,cane,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P11,elmo,12,C16,tree1,fish2,pencil,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P11,elmo,13,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P11,elmo,14,C4,bus1,bus2,torch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P11,elmo,15,C8,dog1,dog2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P39,elmo,1,B2,flower2,flower1,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P39,elmo,2,B1,fish2,fish1,playdoh,1,1,1,0,0,1,0,0,0,0,0,0,0,0
control,B,P39,elmo,3,B14,cat2,chair1,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P39,elmo,4,B12,bus2,car1,flashlight,0,0,0,1,0,0,0,0,0,0,0,0,0,0
control,B,P39,elmo,5,B10,bird2,book1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P39,elmo,6,B15,chair2,dog1,kangaroo,0,0,0,0,0,0,1,0,1,0,0,0,0,0
control,B,P39,elmo,7,B16,dog2,bike1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P39,elmo,8,B11,book2,bus1,apple,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P39,elmo,9,B4,cup2,cup1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P39,elmo,10,B3,clock2,clock1,cake,1,1,0,0,0,0,1,0,1,0,0,0,0,0
control,B,P39,elmo,11,B13,car2,cat1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P39,elmo,12,B7,toothbrush2,toothbrush1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P39,elmo,13,B6,spoon2,spoon1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P39,elmo,14,B5,shoe2,shoe1,paintbrush,0,0,1,0,0,0,0,0,0,0,0,0,0,0
control,B,P39,elmo,15,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P39,elmo,16,B8,tree2,flower1,pencil,0,0,0,1,0,0,0,0,0,0,0,0,0,0
control,C,P31,elmo,1,C14,spoon1,toothbrush2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P31,elmo,2,C6,cat1,0,brush,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P31,elmo,3,C4,bus1,bus2,torch,1,1,0,0,0,0,0,1,0,0,1,0,0,0
control,C,P31,elmo,4,C16,tree1,fish2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P31,elmo,5,C9,fish1,flower2,playdoh,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P31,elmo,6,C3,book1,book2,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P31,elmo,7,C12,clock1,shoe2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P31,elmo,8,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P31,elmo,9,C11,cup1,clock2,cake,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,C,P31,elmo,10,C2,bird1,bird2,playground,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,C,P31,elmo,11,C7,chair1,chair2,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P31,elmo,12,C13,shoe1,spoon2,paintbrush,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P31,elmo,13,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P31,elmo,14,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P31,elmo,15,C5,car1,car2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P31,elmo,16,C8,dog1,dog2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P15,elmo,1,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P15,elmo,2,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P15,elmo,3,C6,cat1,cat2,brush,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,C,P15,elmo,4,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P15,elmo,5,C7,chair1,chair2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P15,elmo,6,C3,book1,book2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P15,elmo,7,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P15,elmo,8,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P15,elmo,9,C5,car1,car2,dolphin,0,1,1,0,0,1,0,0,0,0,0,0,0,0
control,C,P15,elmo,10,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P15,elmo,11,C12,clock1,shoe2,dress,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P15,elmo,12,C8,dog1,dog2,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P15,elmo,13,C2,bird1,bird2,playground,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ambig,C,P15,elmo,14,C4,bus1,bus2,torch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P15,elmo,15,C16,tree1,fish2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P06,elmo,1,B7,toothbrush2,toothbrush1,door,1,1,0,1,0,0,0,0,1,0,0,0,0,0
ambig,B,P06,elmo,2,B2,flower2,flower1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P06,elmo,3,B9,bike2,bird1,candle,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,B,P06,elmo,4,B8,tree2,flower1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P06,elmo,5,B11,book2,bus1,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P06,elmo,6,B15,chair2,dog1,kangaroo,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ambig,B,P06,elmo,7,B5,shoe2,shoe1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P06,elmo,8,B3,clock2,clock1,cake,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P06,elmo,9,B12,bus2,car1,flashlight,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P06,elmo,10,B4,cup2,cup1,dress,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P06,elmo,11,B1,fish2,fish1,playdoh,1,1,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P06,elmo,12,B13,car2,cat1,dolphin,1,1,1,0,0,1,0,0,0,0,0,0,0,0
control,B,P06,elmo,13,B10,bird2,book1,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P06,elmo,14,B6,spoon2,0,comb,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P06,elmo,15,B14,cat2,chair1,hairbrush,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,B,P06,elmo,16,B16,dog2,bike1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P28,elmo,1,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P28,elmo,2,D12,clock2,shoe1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P28,elmo,3,D6,cat2,cat1,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P28,elmo,4,D13,shoe2,spoon1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P28,elmo,5,D4,bus2,bus1,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P28,elmo,6,D16,tree2,fish1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P28,elmo,7,D15,toothbrush2,tree1,door,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P28,elmo,8,D14,spoon2,toothbrush1,comb,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P28,elmo,9,D2,bird2,bird1,playground,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P28,elmo,10,D7,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P28,elmo,11,D3,book2,book1,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P28,elmo,12,D11,cup2,clock1,cake,None,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,D,P28,elmo,13,D1,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P28,elmo,14,D8,dog2,dog1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P28,elmo,15,D9,fish2,flower1,playdoh,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,1,D3,book2,book1,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,2,D2,bird2,bird1,playground,1,1,0,0,1,0,0,0,0,0,0,1,0,0
control,D,P24,elmo,3,D10,flower2,cup1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,4,D9,fish2,flower1,playdoh,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,5,D14,spoon2,toothbrush1,comb,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,6,D13,shoe2,spoon1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,7,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,8,D15,toothbrush2,tree1,door,1,0,0,0,0,0,0,0,1,0,0,0,0,0
control,D,P24,elmo,9,D16,tree2,fish1,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,10,D12,clock2,shoe1,dress,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,11,D8,dog2,dog1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,12,D11,cup2,clock1,cake,1,1,0,0,0,0,0,0,0,1,0,0,0,0
ambig,D,P24,elmo,13,D4,bus2,bus1,torch,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,14,D1,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,15,D7,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,16,D6,cat2,cat1,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,1,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,2,A6,spoon1,spoon2,comb,0,0,1,0,0,1,0,0,0,0,0,0,0,0
control,A,P17,elmo,3,A16,dog1,bike2,rainbow,0,0,1,0,1,0,0,0,0,0,1,0,0,0
control,A,P17,elmo,4,A14,cat1,chair2,hairbrush,0,0,0,0,0,0,0,0,1,0,0,0,0,0
control,A,P17,elmo,5,A10,book1,bus2,apple,None,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,A,P17,elmo,6,A7,toothbrush1,toothbrush2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,7,A15,chair1,dog2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,8,A5,shoe1,shoe2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,9,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,10,A13,car1,cat2,dolphin,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,11,A1,fish1,fish2,playdoh,0,0,1,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,12,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,13,A4,cup1,cup2,dress,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,14,A3,clock1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,15,A2,flower2,flower1,cane,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,16,A8,flower1,tree2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,1,A14,cat1,chair2,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,2,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,3,A3,clock1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,4,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,5,A7,toothbrush1,toothbrush2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,6,A13,car1,cat2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,7,A8,flower1,tree2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,8,A6,spoon1,spoon2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,9,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,10,A4,cup1,cup2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,11,A5,shoe1,shoe2,paintbrush,0,1,1,0,0,0,0,0,0,0,0,0,0,0
