participant,TrialID,PresentationID,List,condition,phase,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,distractor_to_White Space,White Space_to_target,White Space_to_foil,White Space_to_distractor
P23,C10,14,C,control,elmo,flower1,cup2,cane,0,0,1,1,0,2,1,0,1,1,0,0,0,0
P23,C10,14,C,control,500ms,flower1,cup2,cane,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P23,C10,14,C,control,peppa,flower1,cup2,cane,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P23,C7,15,C,ambig,start,chair1,chair2,kangaroo,0,0,1,0,0,1,0,0,0,1,0,0,0,1
P23,C7,15,C,ambig,elmo,chair1,chair2,kangaroo,0,0,1,1,0,1,0,1,1,0,0,1,0,0
P23,C7,15,C,ambig,500ms,chair1,chair2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P23,C7,15,C,ambig,peppa,chair1,chair2,kangaroo,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P23,C6,16,C,ambig,start,cat1,cat2,brush,0,0,2,0,0,0,1,0,1,0,0,0,0,0
P23,C6,16,C,ambig,elmo,cat1,cat2,brush,0,0,1,0,0,1,1,0,1,0,0,0,0,0
P23,C6,16,C,ambig,500ms,cat1,cat2,brush,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P23,C6,16,C,ambig,peppa,cat1,cat2,brush,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P22,B3,1,B,ambig,start,clock2,clock1,cake,1,1,0,1,2,3,0,0,1,0,2,0,3,1
P22,B3,1,B,ambig,elmo,clock2,clock1,cake,1,1,0,1,2,0,0,0,1,0,0,1,0,1
P22,B3,1,B,ambig,500ms,clock2,clock1,cake,1,1,0,0,0,0,0,0,1,0,0,0,0,0
P22,B3,1,B,ambig,peppa,clock2,clock1,cake,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P22,B15,2,B,control,start,chair2,dog1,kangaroo,0,0,0,0,0,0,2,1,0,2,0,0,1,0
P22,B15,2,B,control,elmo,chair2,dog1,kangaroo,0,0,0,1,1,2,0,0,0,0,1,1,1,0
P22,B15,2,B,control,500ms,chair2,dog1,kangaroo,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P22,B15,2,B,control,peppa,chair2,dog1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22,B1,3,B,ambig,start,fish2,fish1,playdoh,1,1,0,0,0,0,0,0,1,0,0,0,0,1
P22,B1,3,B,ambig,elmo,fish2,fish1,playdoh,1,1,1,1,1,1,0,0,0,0,0,1,0,0
P22,B1,3,B,ambig,500ms,fish2,fish1,playdoh,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P22,B1,3,B,ambig,peppa,fish2,fish1,playdoh,1,1,2,0,0,1,0,1,1,0,0,0,1,0
P22,B4,4,B,ambig,start,cup2,cup1,dress,1,1,2,0,0,1,1,0,1,1,0,0,0,1
P22,B4,4,B,ambig,elmo,cup2,cup1,dress,1,1,0,0,2,1,0,0,0,0,0,1,0,0
P22,B4,4,B,ambig,500ms,cup2,cup1,dress,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P22,B4,4,B,ambig,peppa,cup2,cup1,dress,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P22,B5,5,B,ambig,start,shoe2,shoe1,paintbrush,1,1,2,0,0,1,1,0,1,0,0,0,0,0
P22,B5,5,B,ambig,elmo,shoe2,shoe1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P22,B5,5,B,ambig,500ms,shoe2,shoe1,paintbrush,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P22,B5,5,B,ambig,peppa,shoe2,shoe1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P22,B9,6,B,control,start,bike2,bird1,candle,0,0,1,1,1,1,0,0,1,0,0,1,0,0
P22,B9,6,B,control,elmo,bike2,bird1,candle,0,0,0,2,1,0,0,0,2,0,0,1,0,0
P22,B9,6,B,control,500ms,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22,B9,6,B,control,peppa,bike2,bird1,candle,0,0,1,0,0,0,1,0,0,1,0,0,0,0
P22,B16,7,B,control,start,dog2,bike1,rainbow,0,0,2,1,0,1,1,0,1,0,1,0,0,1
P22,B16,7,B,control,elmo,dog2,bike1,rainbow,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P22,B16,7,B,control,500ms,dog2,bike1,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22,B16,7,B,control,peppa,dog2,bike1,rainbow,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P22,B7,8,B,ambig,start,toothbrush2,toothbrush1,door,1,1,1,0,1,2,0,1,0,0,0,0,1,0
P22,B7,8,B,ambig,elmo,toothbrush2,toothbrush1,door,1,1,2,1,0,1,1,0,3,0,0,0,0,1
P22,B7,8,B,ambig,500ms,toothbrush2,toothbrush1,door,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P22,B7,8,B,ambig,peppa,toothbrush2,toothbrush1,door,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P22,B10,9,B,control,start,bird2,book1,playground,0,0,1,0,0,0,2,0,1,0,0,0,0,0
P22,B10,9,B,control,elmo,bird2,book1,playground,0,0,0,3,0,0,1,0,3,1,0,1,0,0
P22,B10,9,B,control,500ms,bird2,book1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22,B10,9,B,control,peppa,bird2,book1,playground,0,0,2,0,0,0,3,0,1,1,0,0,0,0
P22,B2,10,B,ambig,start,flower2,flower1,cane,1,1,1,1,1,1,0,0,2,0,1,0,0,1
P22,B2,10,B,ambig,elmo,flower2,flower1,cane,1,1,2,0,0,2,0,0,1,0,0,0,0,1
P22,B2,10,B,ambig,500ms,flower2,flower1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P22,B2,10,B,ambig,peppa,flower2,flower1,cane,1,1,2,0,0,1,0,0,0,0,0,0,0,0
P22,B12,11,B,control,start,bus2,car1,flashlight,0,0,0,1,0,2,0,0,0,2,0,0,0,0
P22,B12,11,B,control,elmo,bus2,car1,flashlight,0,0,1,0,1,1,0,1,0,1,0,0,1,1
P22,B12,11,B,control,500ms,bus2,car1,flashlight,0,0,0,0,0,0,1,0,1,0,0,0,0,0
P22,B12,11,B,control,peppa,bus2,car1,flashlight,0,0,1,0,0,0,0,0,0,0,0,0,0,0
