Subj	trialnum	Label	StartTime
AdSubjExpt1-11	Homoph_Ambig_bow2.jpg	NA	NA
AdSubjExpt1-11	Homoph_Ambig_button2.jpg	1	981
AdSubjExpt1-11	Homoph_Ambig_cork2.jpg	1	985
AdSubjExpt1-11	Homoph_Ambig_diamond2.jpg	0	1694
AdSubjExpt1-11	Homoph_Ambig_flour2.jpg	0	1296
AdSubjExpt1-11	Homoph_Ambig_glass2.jpg	1	805
AdSubjExpt1-11	Homoph_Ambig_horn2.jpg	1	1490
AdSubjExpt1-11	Homoph_Control_lock2.jpg	1	757
AdSubjExpt1-11	Homoph_Control_mouse2.jpg	1	730
AdSubjExpt1-11	Homoph_Control_mussel2.jpg	1	1147
AdSubjExpt1-11	Homoph_Control_pie2.jpg	1	969
AdSubjExpt1-11	Homoph_Control_pipe2.jpg	1	1606
AdSubjExpt1-11	Homoph_Control_razor2.jpg	0	946
AdSubjExpt1-11	Homoph_Control_sale2.jpg	1	2458
AdSubjExpt1-11	Homoph_Control_sponge2.jpg	1	986
AdSubjExpt1-10	Homoph_Ambig_lock1.jpg	0	798
AdSubjExpt1-10	Homoph_Ambig_mouse1.jpg	1	867
AdSubjExpt1-10	Homoph_Ambig_mussel1.jpg	1	948
AdSubjExpt1-10	Homoph_Ambig_pie1.jpg	1	723
AdSubjExpt1-10	Homoph_Ambig_pipe1.jpg	0	1004
AdSubjExpt1-10	Homoph_Ambig_razor1.jpg	0	661
AdSubjExpt1-10	Homoph_Ambig_sale1.jpg	0	921
AdSubjExpt1-10	Homoph_Ambig_sponge1.jpg	0	1421
AdSubjExpt1-10	Homoph_Control_bat1.jpg	0	604
AdSubjExpt1-10	Homoph_Control_bow1.jpg	0	1831
AdSubjExpt1-10	Homoph_Control_button1.jpg	1	772
AdSubjExpt1-10	Homoph_Control_cork1.jpg	1	1176
AdSubjExpt1-10	Homoph_Control_diamond1.jpg	1	753
AdSubjExpt1-10	Homoph_Control_flour1.jpg	1	978
AdSubjExpt1-10	Homoph_Control_glass1.jpg	0	1278
AdSubjExpt1-10	Homoph_Control_horn1.jpg	1	979
AdSubjExpt1-2	Homoph_Ambig_bat1.jpg	0	792
AdSubjExpt1-2	Homoph_Ambig_bow1.jpg	0	1045
AdSubjExpt1-2	Homoph_Ambig_button1.jpg	0	915
AdSubjExpt1-2	Homoph_Ambig_cork1.jpg	0	1365
AdSubjExpt1-2	Homoph_Ambig_diamond1.jpg	0	934
AdSubjExpt1-2	Homoph_Ambig_flour1.jpg	0	575
AdSubjExpt1-2	Homoph_Ambig_glass1.jpg	0	766
AdSubjExpt1-2	Homoph_Ambig_horn1.jpg	0	1228
AdSubjExpt1-2	Homoph_Control_lock1.jpg	1	1270
AdSubjExpt1-2	Homoph_Control_mouse1.jpg	0	1806
AdSubjExpt1-2	Homoph_Control_mussel1.jpg	0	1371
