,participant,list,condition,trial_id,phase,target,target_sum_duration_Left,target_sum_duration_Right,foil,foil_sum_duration_Left,foil_sum_duration_Right,distractor,distractor_sum_duration_Left,distractor_sum_duration_Right,informative_foil,informative_target
0,P01,A,ambig,A1,elmo,fish1,100037,1066754,fish2,333197,133403,playdoh,133314,133314,TRUE,TRUE
1,P01,A,ambig,A1,peppa,fish1,200093,200093,fish2,100057,133420,playdoh,166677,366627,TRUE,TRUE
2,P01,A,ambig,A1,start,fish1,0,0,fish2,299950,366623,playdoh,166647,0,TRUE,TRUE
31,P01,A,ambig,A2,500ms,flower1,0,0,flower2,300041,233288,cane,0,0,FALSE,FALSE
32,P01,A,ambig,A2,elmo,flower1,233359,200026,flower2,1233153,2332885,cane,0,0,FALSE,FALSE
33,P01,A,ambig,A2,peppa,flower1,1766515,1966514,flower2,666549,633231,cane,0,0,FALSE,FALSE
34,P01,A,ambig,A2,start,flower1,699750,1066468,flower2,1066564,1632782,cane,99983,133260,FALSE,FALSE
35,P01,A,ambig,A3,500ms,clock1,0,0,clock2,0,0,cake,299884,299884,FALSE,FALSE
36,P01,A,ambig,A3,elmo,clock1,1466395,2132861,clock2,133293,233320,cake,566619,566605,FALSE,FALSE
37,P01,A,ambig,A3,peppa,clock1,500053,499958,clock2,3066450,3232823,cake,333127,333127,FALSE,FALSE
38,P01,A,ambig,A3,start,clock1,999820,1032601,clock2,299946,299946,cake,1899812,1866511,FALSE,FALSE
39,P01,A,ambig,A4,500ms,cup1,366664,400011,cup2,0,0,dress,0,0,FALSE,FALSE
40,P01,A,ambig,A4,elmo,cup1,2433078,2799760,cup2,299953,299953,dress,466623,466623,FALSE,FALSE
41,P01,A,ambig,A4,peppa,cup1,866490,933073,cup2,2599705,2799656,dress,899916,899925,FALSE,FALSE
42,P01,A,ambig,A4,start,cup1,466683,499999,cup2,899949,866616,dress,2166504,2199711,FALSE,FALSE
43,P01,A,ambig,A5,elmo,shoe1,3132807,1966505,shoe2,0,0,paintbrush,0,0,TRUE,FALSE
44,P01,A,ambig,A5,peppa,shoe1,0,0,shoe2,366641,0,paintbrush,0,0,TRUE,FALSE
45,P01,A,ambig,A5,start,shoe1,732999,1865881,shoe2,0,0,paintbrush,0,0,TRUE,FALSE
46,P01,A,ambig,A6,500ms,spoon1,0,0,spoon2,0,99993,comb,0,0,FALSE,FALSE
47,P01,A,ambig,A6,elmo,spoon1,1233242,1299655,spoon2,299969,433317,comb,733053,933113,FALSE,FALSE
48,P01,A,ambig,A6,peppa,spoon1,1600008,1499924,spoon2,2233224,2366367,comb,1166569,1366567,FALSE,FALSE
49,P01,A,ambig,A6,start,spoon1,2833048,2833375,spoon2,233242,399894,comb,399788,399811,FALSE,FALSE
50,P01,A,ambig,A7,elmo,toothbrush1,2133120,3366363,toothbrush2,0,0,door,0,0,FALSE,FALSE
51,P01,A,ambig,A7,peppa,toothbrush1,99984,99984,toothbrush2,1166634,1933138,door,399898,399898,FALSE,FALSE
52,P01,A,ambig,A7,start,toothbrush1,166499,0,toothbrush2,999938,599940,door,0,99995,FALSE,FALSE
53,P01,A,ambig,A8,500ms,tree1,0,0,tree2,333021,333021,pencil,0,0,FALSE,TRUE
54,P01,A,ambig,A8,elmo,tree1,566625,1466774,tree2,0,0,pencil,0,0,FALSE,TRUE
55,P01,A,ambig,A8,peppa,tree1,1199980,1333285,tree2,1799949,1799171,pencil,0,0,FALSE,TRUE
56,P01,A,ambig,A8,start,tree1,0,233268,tree2,366380,633505,pencil,433230,0,FALSE,TRUE
3,P01,A,control,A10,500ms,book1,267508,399764,bus2,0,0,apple,0,0,FALSE,FALSE
4,P01,A,control,A10,elmo,book1,2665967,2399924,bus2,0,0,apple,358993,366615,FALSE,FALSE
5,P01,A,control,A10,peppa,book1,333302,333302,bus2,2966275,3532959,apple,566570,633218,FALSE,FALSE
6,P01,A,control,A10,start,book1,799905,1299596,bus2,633273,866491,apple,299857,466515,FALSE,FALSE
7,P01,A,control,A11,500ms,book2,0,233226,bird1,0,0,playground,0,0,FALSE,FALSE
8,P01,A,control,A11,elmo,book2,3166503,2866555,bird1,0,0,playground,100000,0,FALSE,FALSE
9,P01,A,control,A11,peppa,book2,0,0,bird1,2499619,2666114,playground,2899659,3033039,FALSE,FALSE
10,P01,A,control,A11,start,book2,133307,166639,bird1,733321,733321,playground,2566520,2933322,FALSE,FALSE
11,P01,A,control,A12,500ms,bus1,133283,399888,car2,0,0,flashlight,0,0,FALSE,FALSE
12,P01,A,control,A12,elmo,bus1,4299458,4632943,car2,0,0,flashlight,0,0,FALSE,FALSE
13,P01,A,control,A12,peppa,bus1,166655,166655,car2,2400175,2499817,flashlight,666280,933266,FALSE,FALSE
14,P01,A,control,A12,start,bus1,1399849,1533171,car2,1666600,1666614,flashlight,566708,666609,FALSE,FALSE
15,P01,A,control,A13,500ms,car1,133322,0,cat2,0,0,dolphin,0,0,FALSE,FALSE
16,P01,A,control,A13,elmo,car1,733204,833232,cat2,0,0,dolphin,0,0,FALSE,FALSE
17,P01,A,control,A13,peppa,car1,0,0,cat2,2266342,2400020,dolphin,0,0,FALSE,FALSE
18,P01,A,control,A13,start,car1,299742,733226,cat2,333347,899889,dolphin,466796,366816,FALSE,FALSE
19,P01,A,control,A14,500ms,cat1,433366,333270,chair2,0,0,hairbrush,0,0,FALSE,FALSE
20,P01,A,control,A14,elmo,cat1,2732857,2666459,chair2,0,0,hairbrush,133324,133324,FALSE,FALSE
21,P01,A,control,A14,peppa,cat1,266611,266611,chair2,2833066,2999839,hairbrush,100013,100013,FALSE,FALSE
22,P01,A,control,A14,start,cat1,966466,1133091,chair2,666479,666479,hairbrush,866454,1066651,FALSE,FALSE
23,P01,A,control,A15,500ms,chair1,133332,133332,dog2,266442,266442,kangaroo,0,0,FALSE,FALSE
24,P01,A,control,A15,elmo,chair1,3699876,3899180,dog2,366628,366629,kangaroo,0,0,FALSE,FALSE
25,P01,A,control,A15,peppa,chair1,1199786,1333112,dog2,4465988,4499244,kangaroo,0,0,FALSE,FALSE
26,P01,A,control,A15,start,chair1,0,0,dog2,1399598,1432889,kangaroo,966600,1233147,FALSE,FALSE
27,P01,A,control,A16,500ms,dog1,0,466591,bike2,0,0,rainbow,0,0,FALSE,FALSE
28,P01,A,control,A16,elmo,dog1,666590,766720,bike2,133336,199987,rainbow,0,0,FALSE,FALSE
29,P01,A,control,A16,peppa,dog1,366621,633293,bike2,1333385,1099872,rainbow,0,0,FALSE,FALSE
30,P01,A,control,A16,start,dog1,1466159,1333278,bike2,99991,0,rainbow,466589,466589,FALSE,FALSE
57,P01,A,control,A9,500ms,bike1,466587,366621,bird2,1566536,1833124,candle,933234,966552,FALSE,FALSE
58,P01,A,control,A9,start,bike1,3399816,3632974,bird2,1599868,1766591,candle,1133383,1333246,FALSE,FALSE
59,P02,B,ambig,B1,500ms,fish2,0,266639,fish1,0,0,playdoh,0,0,FALSE,FALSE
60,P02,B,ambig,B1,elmo,fish2,266632,1333084,fish1,0,166663,playdoh,0,0,FALSE,FALSE
61,P02,B,ambig,B1,peppa,fish2,100345,866735,fish1,0,399957,playdoh,0,0,FALSE,FALSE
62,P02,B,ambig,B1,start,fish2,233278,966240,fish1,0,0,playdoh,0,0,FALSE,FALSE
90,P02,B,ambig,B2,500ms,flower2,466761,466761,flower1,0,0,cane,0,0,FALSE,FALSE
91,P02,B,ambig,B2,elmo,flower2,4232912,3033402,flower1,499669,266229,cane,134295,134295,FALSE,FALSE
92,P02,B,ambig,B2,peppa,flower2,1232276,765262,flower1,2733325,2266719,cane,0,0,FALSE,FALSE
93,P02,B,ambig,B2,start,flower2,1067007,1299927,flower1,1799500,1199664,cane,0,0,FALSE,FALSE
94,P02,B,ambig,B3,500ms,clock2,0,0,clock1,0,0,cake,0,0,FALSE,FALSE
95,P02,B,ambig,B3,elmo,clock2,1666421,266721,clock1,266625,0,cake,0,299620,FALSE,FALSE
96,P02,B,ambig,B3,peppa,clock2,0,0,clock1,999939,99927,cake,0,0,FALSE,FALSE
97,P02,B,ambig,B3,start,clock2,0,0,clock1,1200122,99826,cake,233264,433294,FALSE,FALSE
98,P02,B,ambig,B4,500ms,cup2,0,0,cup1,433238,266549,dress,0,0,FALSE,FALSE
99,P02,B,ambig,B4,elmo,cup2,2300248,133343,cup1,133204,99855,dress,133484,133484,FALSE,FALSE
100,P02,B,ambig,B4,peppa,cup2,0,0,cup1,4099400,1766191,dress,0,0,FALSE,FALSE
101,P02,B,ambig,B4,start,cup2,0,0,cup1,2299721,1733041,dress,0,433089,FALSE,FALSE
102,P02,B,ambig,B5,500ms,shoe2,433223,232719,shoe1,0,0,paintbrush,0,0,FALSE,FALSE
103,P02,B,ambig,B5,elmo,shoe2,5532605,5265637,shoe1,533259,166635,paintbrush,0,0,FALSE,FALSE
104,P02,B,ambig,B5,peppa,shoe2,1233256,1833163,shoe1,0,133289,paintbrush,0,0,FALSE,FALSE
105,P02,B,ambig,B5,start,shoe2,1300132,1533568,shoe1,0,0,paintbrush,0,233320,FALSE,FALSE
106,P02,B,ambig,B6,elmo,spoon2,333038,466861,spoon1,0,0,comb,133277,266659,FALSE,FALSE
107,P02,B,ambig,B6,peppa,spoon2,0,699747,spoon1,0,0,comb,0,0,FALSE,FALSE
108,P02,B,ambig,B6,start,spoon2,133342,166649,spoon1,0,0,comb,299999,633186,FALSE,FALSE
109,P02,B,ambig,B7,elmo,toothbrush2,966589,166665,toothbrush1,99989,0,door,0,0,FALSE,FALSE
110,P02,B,ambig,B7,peppa,toothbrush2,0,0,toothbrush1,2499678,1533201,door,0,0,FALSE,FALSE
111,P02,B,ambig,B7,start,toothbrush2,0,133291,toothbrush1,566607,233324,door,0,0,FALSE,FALSE
112,P02,B,ambig,B8,500ms,tree2,399914,300103,tree1,0,0,pencil,0,0,,
113,P02,B,ambig,B8,elmo,tree2,4965573,3299774,tree1,0,233205,pencil,0,0,,
114,P02,B,ambig,B8,peppa,tree2,2766722,1266529,tree1,4032972,2733073,pencil,0,0,,
115,P02,B,ambig,B8,start,tree2,1833080,1233288,tree1,666921,666921,pencil,0,166654,,
63,P02,B,control,B10,500ms,bird2,0,0,book1,133273,0,playground,0,0,FALSE,FALSE
64,P02,B,control,B10,elmo,bird2,500069,0,book1,499792,0,playground,633299,366644,FALSE,FALSE
65,P02,B,control,B10,peppa,bird2,0,0,book1,1267406,266667,playground,99977,0,FALSE,FALSE
66,P02,B,control,B10,start,bird2,200157,400192,book1,233305,133320,playground,1066365,0,FALSE,FALSE
67,P02,B,control,B11,500ms,book2,0,0,bus1,0,0,apple,0,0,FALSE,FALSE
68,P02,B,control,B11,elmo,book2,2199590,666602,bus1,1133168,899874,apple,1166535,1699848,FALSE,FALSE
69,P02,B,control,B11,peppa,book2,0,0,bus1,1499960,433347,apple,166651,0,FALSE,FALSE
70,P02,B,control,B11,start,book2,0,0,bus1,0,0,apple,2999736,2233052,FALSE,FALSE
71,P02,B,control,B12,elmo,bus2,0,0,car1,0,0,flashlight,0,166650,FALSE,FALSE
72,P02,B,control,B12,peppa,bus2,0,0,car1,566748,233282,flashlight,0,0,FALSE,FALSE
73,P02,B,control,B12,start,bus2,0,0,car1,566802,599927,flashlight,566589,699945,FALSE,FALSE
74,P02,B,control,B13,500ms,car2,199940,199940,cat1,0,0,dolphin,0,0,FALSE,FALSE
75,P02,B,control,B13,elmo,car2,3832675,4332796,cat1,0,0,dolphin,299992,333351,FALSE,FALSE
76,P02,B,control,B13,peppa,car2,633123,2133533,cat1,699944,100005,dolphin,1066473,533417,FALSE,FALSE
77,P02,B,control,B13,start,car2,1633375,2600041,cat1,0,0,dolphin,233320,633082,FALSE,FALSE
78,P02,B,control,B14,500ms,cat2,0,0,chair1,0,0,hairbrush,0,0,FALSE,FALSE
79,P02,B,control,B14,elmo,cat2,566475,0,chair1,0,0,hairbrush,0,0,FALSE,FALSE
80,P02,B,control,B14,peppa,cat2,0,0,chair1,566803,433300,hairbrush,266887,800071,FALSE,FALSE
81,P02,B,control,B14,start,cat2,0,99920,chair1,0,0,hairbrush,466516,1000342,FALSE,FALSE
82,P02,B,control,B15,500ms,chair2,299948,0,dog1,0,0,kangaroo,0,0,FALSE,FALSE
83,P02,B,control,B15,elmo,chair2,599917,1133254,dog1,1899700,1533257,kangaroo,1700206,1066509,FALSE,FALSE
84,P02,B,control,B15,peppa,chair2,0,0,dog1,2633147,1733352,kangaroo,0,0,FALSE,FALSE
85,P02,B,control,B15,start,chair2,0,166645,dog1,132944,766638,kangaroo,499962,0,FALSE,FALSE
86,P02,B,control,B16,500ms,dog2,0,0,bike1,133293,133293,rainbow,0,0,FALSE,FALSE
87,P02,B,control,B16,elmo,dog2,0,0,bike1,299984,266864,rainbow,2299892,1999552,FALSE,FALSE
88,P02,B,control,B16,peppa,dog2,0,0,bike1,1299782,2034071,rainbow,0,0,FALSE,FALSE
89,P02,B,control,B16,start,dog2,0,0,bike1,966647,833299,rainbow,2033299,2066571,FALSE,FALSE
116,P02,B,control,B9,500ms,bike2,400157,433479,bird1,0,0,candle,0,0,,
117,P02,B,control,B9,elmo,bike2,3899342,2766183,bird1,0,0,candle,633742,399956,,
118,P02,B,control,B9,peppa,bike2,966765,600015,bird1,1066680,1566610,candle,0,0,,
119,P02,B,control,B9,start,bike2,2233036,1399878,bird1,0,133354,candle,266668,533240,,
120,P03,C,ambig,C1,500ms,bike1,0,0,bike2,233449,366771,candle,0,0,FALSE,FALSE
121,P03,C,ambig,C1,elmo,bike1,2799124,2832469,bike2,1966453,2133103,candle,566548,566548,FALSE,FALSE
122,P03,C,ambig,C1,peppa,bike1,999883,966545,bike2,1199821,1666513,candle,0,0,FALSE,FALSE
123,P03,C,ambig,C1,start,bike1,1333039,1299293,bike2,966473,966473,candle,1466395,1466395,FALSE,FALSE
149,P03,C,ambig,C2,elmo,bird1,1433157,1666354,bird2,1566233,1666463,playground,466560,466560,FALSE,FALSE
150,P03,C,ambig,C2,peppa,bird1,133334,533346,bird2,1199873,1799825,playground,0,0,FALSE,FALSE
151,P03,C,ambig,C2,start,bird1,766563,766563,bird2,766550,766550,playground,2233129,2233129,FALSE,FALSE
152,P03,C,ambig,C3,500ms,book1,0,133234,book2,0,0,apple,0,0,FALSE,FALSE
153,P03,C,ambig,C3,elmo,book1,566661,1799858,book2,567085,1099862,apple,0,0,FALSE,FALSE
154,P03,C,ambig,C3,peppa,book1,0,133262,book2,0,2832750,apple,166599,900026,FALSE,FALSE
155,P03,C,ambig,C3,start,book1,133314,133314,book2,0,0,apple,1333251,3332863,FALSE,FALSE
156,P03,C,ambig,C4,500ms,bus1,233473,233473,bus2,200000,200000,flashlight,0,0,FALSE,FALSE
157,P03,C,ambig,C4,elmo,bus1,2599826,2533101,bus2,899929,899929,flashlight,833331,833331,FALSE,FALSE
158,P03,C,ambig,C4,peppa,bus1,266602,266602,bus2,2233368,2766602,flashlight,199988,199988,FALSE,FALSE
159,P03,C,ambig,C4,start,bus1,766594,666612,bus2,466544,466544,flashlight,266649,266649,FALSE,FALSE
160,P03,C,ambig,C5,500ms,car1,433267,433267,car2,0,0,dolphin,0,0,FALSE,FALSE
161,P03,C,ambig,C5,elmo,car1,3399686,3366389,car2,466601,233296,dolphin,0,0,FALSE,FALSE
162,P03,C,ambig,C5,peppa,car1,1499889,1499948,car2,2699577,2632589,dolphin,0,0,FALSE,FALSE
163,P03,C,ambig,C5,start,car1,933207,966540,car2,533192,533192,dolphin,999943,1033268,FALSE,FALSE
164,P03,C,ambig,C6,elmo,cat1,1666622,2366484,cat2,466637,699893,hairbrush,0,0,FALSE,FALSE
165,P03,C,ambig,C6,peppa,cat1,0,0,cat2,733361,900013,hairbrush,0,0,FALSE,FALSE
166,P03,C,ambig,C6,start,cat1,333275,333275,cat2,333296,666688,hairbrush,1799025,1865692,FALSE,FALSE
167,P03,C,ambig,C7,elmo,chair1,2066508,1966488,chair2,433302,433302,kangaroo,766051,632786,FALSE,FALSE
168,P03,C,ambig,C7,peppa,chair1,733250,733247,chair2,2766261,2766327,kangaroo,0,0,FALSE,FALSE
169,P03,C,ambig,C7,start,chair1,966532,999886,chair2,533175,366526,kangaroo,633301,500001,FALSE,FALSE
170,P03,C,ambig,C8,500ms,dog1,0,0,dog2,0,0,rainbow,466457,466457,FALSE,FALSE
171,P03,C,ambig,C8,elmo,dog1,1865978,1765979,dog2,633279,633279,rainbow,599945,599945,FALSE,FALSE
172,P03,C,ambig,C8,peppa,dog1,799762,1033238,dog2,1166563,1433206,rainbow,133303,133303,FALSE,FALSE
173,P03,C,ambig,C8,start,dog1,1766358,1766320,dog2,1466498,1466498,rainbow,366623,366623,FALSE,FALSE
124,P03,C,control,C10,500ms,flower1,0,0,cup2,0,0,cane,0,0,FALSE,FALSE
125,P03,C,control,C10,elmo,flower1,2666400,2633046,cup2,433295,466616,cane,0,566587,FALSE,FALSE
126,P03,C,control,C10,peppa,flower1,0,0,cup2,2166462,2266426,cane,1066558,1099871,FALSE,FALSE
127,P03,C,control,C10,start,flower1,166645,199986,cup2,0,166696,cane,2499652,2399626,FALSE,FALSE
128,P03,C,control,C11,500ms,cup1,166675,333186,clock2,0,0,cake,0,0,FALSE,FALSE
129,P03,C,control,C11,elmo,cup1,3166476,3133139,clock2,0,0,cake,333220,333220,FALSE,FALSE
130,P03,C,control,C11,peppa,cup1,0,0,clock2,2099796,2299780,cake,233303,233303,FALSE,FALSE
131,P03,C,control,C11,start,cup1,166646,166646,clock2,1433181,1333182,cake,1966373,1966378,FALSE,FALSE
132,P03,C,control,C12,500ms,clock1,299985,333318,shoe2,3266326,3466380,dress,0,0,TRUE,FALSE
133,P03,C,control,C12,start,clock1,3266187,3232878,shoe2,3033108,3032990,dress,1366524,1366524,TRUE,FALSE
134,P03,C,control,C13,500ms,shoe1,433242,433242,spoon2,0,0,paintbrush,0,0,FALSE,FALSE
135,P03,C,control,C13,elmo,shoe1,3532994,3566296,spoon2,0,0,paintbrush,0,0,FALSE,FALSE
136,P03,C,control,C13,peppa,shoe1,966631,966631,spoon2,1633190,2199824,paintbrush,0,0,FALSE,FALSE
137,P03,C,control,C13,start,shoe1,666530,766506,spoon2,266659,633328,paintbrush,733235,666590,FALSE,FALSE
138,P03,C,control,C14,500ms,spoon1,0,0,toothbrush2,0,0,comb,0,199988,FALSE,FALSE
139,P03,C,control,C14,elmo,spoon1,999754,3499620,toothbrush2,166262,166262,comb,399765,933384,FALSE,FALSE
140,P03,C,control,C14,peppa,spoon1,0,0,toothbrush2,699773,2766347,comb,99901,533114,FALSE,FALSE
141,P03,C,control,C14,start,spoon1,166808,1466210,toothbrush2,0,966837,comb,333468,1133269,FALSE,FALSE
142,P03,C,control,C15,elmo,toothbrush1,3066442,3033132,tree2,600032,533278,door,0,0,FALSE,FALSE
143,P03,C,control,C15,peppa,toothbrush1,266635,266635,tree2,1633249,1666542,door,433359,199986,FALSE,FALSE
144,P03,C,control,C15,start,toothbrush1,399944,499933,tree2,366620,399972,door,633231,766551,FALSE,FALSE
145,P03,C,control,C16,500ms,tree1,166637,133338,fish2,0,0,pencil,0,0,FALSE,FALSE
146,P03,C,control,C16,elmo,tree1,2566350,2833005,fish2,0,0,pencil,166641,133311,FALSE,FALSE
147,P03,C,control,C16,peppa,tree1,599944,599944,fish2,1766492,1766492,pencil,633228,899838,FALSE,FALSE
148,P03,C,control,C16,start,tree1,1066546,1066546,fish2,1199901,1233235,pencil,1099901,1099901,FALSE,FALSE
174,P03,C,control,C9,500ms,fish1,433384,466778,flower2,0,0,playdoh,0,0,FALSE,FALSE
175,P03,C,control,C9,elmo,fish1,3366445,3066382,flower2,99982,0,playdoh,0,0,FALSE,FALSE
176,P03,C,control,C9,peppa,fish1,331621,364968,flower2,1133411,1366607,playdoh,1466632,1166488,FALSE,FALSE
177,P03,C,control,C9,start,fish1,533295,633460,flower2,699955,699955,playdoh,2233134,2466509,FALSE,FALSE
178,P04,D,ambig,D1,500ms,bike2,99981,0,bike1,0,0,candle,266672,133321,TRUE,TRUE
179,P04,D,ambig,D1,elmo,bike2,2833083,2766491,bike1,1433611,1466741,candle,233287,0,TRUE,TRUE
180,P04,D,ambig,D1,peppa,bike2,133409,133409,bike1,4166364,4466110,candle,133310,0,TRUE,TRUE
181,P04,D,ambig,D1,start,bike2,500069,333409,bike1,766635,766635,candle,1366566,1099844,TRUE,TRUE
210,P04,D,ambig,D2,500ms,bird2,433149,466509,bird1,0,0,playground,0,0,TRUE,FALSE
211,P04,D,ambig,D2,elmo,bird2,3832928,4266205,bird1,599890,599975,playground,5333111,4966415,TRUE,FALSE
212,P04,D,ambig,D2,peppa,bird2,2032446,1432761,bird1,6266576,6199417,playground,1799898,1699951,TRUE,FALSE
213,P04,D,ambig,D2,start,bird2,1199723,1333023,bird1,300016,299991,playground,899997,866693,TRUE,FALSE
214,P04,D,ambig,D3,500ms,book2,366620,366620,book1,0,0,apple,0,0,TRUE,TRUE
215,P04,D,ambig,D3,elmo,book2,2966332,3032851,book1,899842,933299,apple,366715,366715,TRUE,TRUE
216,P04,D,ambig,D3,peppa,book2,232715,232715,book1,2266452,2266419,apple,1133205,1099877,TRUE,TRUE
217,P04,D,ambig,D3,start,book2,0,0,book1,499890,499958,apple,2966557,2866317,TRUE,TRUE
218,P04,D,ambig,D4,500ms,bus2,466485,0,bus1,0,0,flashlight,0,0,TRUE,TRUE
219,P04,D,ambig,D4,elmo,bus2,3066348,1999561,bus1,933119,1000007,flashlight,133015,133015,TRUE,TRUE
220,P04,D,ambig,D4,peppa,bus2,300306,0,bus1,2133104,1766941,flashlight,499946,599924,TRUE,TRUE
221,P04,D,ambig,D4,start,bus2,233247,233247,bus1,1899770,1899770,flashlight,1566550,1599816,TRUE,TRUE
222,P04,D,ambig,D5,500ms,car2,299748,266808,car1,0,0,dolphin,0,0,TRUE,TRUE
223,P04,D,ambig,D5,elmo,car2,2899343,3166112,car1,0,0,dolphin,0,0,TRUE,TRUE
224,P04,D,ambig,D5,peppa,car2,1766453,1733122,car1,2366330,2466236,dolphin,0,0,TRUE,TRUE
225,P04,D,ambig,D5,start,car2,1699709,1966168,car1,666631,499986,dolphin,466611,466611,TRUE,TRUE
226,P04,D,ambig,D6,500ms,cat2,266533,266533,cat1,0,0,hairbrush,0,0,FALSE,FALSE
227,P04,D,ambig,D6,elmo,cat2,2333124,2699921,cat1,1599878,1833106,hairbrush,0,0,FALSE,FALSE
228,P04,D,ambig,D6,peppa,cat2,233137,233137,cat1,2799749,3466353,hairbrush,0,0,FALSE,FALSE
229,P04,D,ambig,D6,start,cat2,1133363,1133270,cat1,999972,799913,hairbrush,333307,333307,FALSE,FALSE
230,P04,D,ambig,D7,500ms,chair2,465869,465869,chair1,0,0,kangaroo,0,0,TRUE,TRUE
231,P04,D,ambig,D7,elmo,chair2,3766313,3966309,chair1,0,0,kangaroo,0,0,TRUE,TRUE
232,P04,D,ambig,D7,peppa,chair2,499745,499745,chair1,3332903,3266296,kangaroo,0,0,TRUE,TRUE
233,P04,D,ambig,D7,start,chair2,1133169,1133170,chair1,266452,266452,kangaroo,1199749,1233083,TRUE,TRUE
234,P04,D,ambig,D8,elmo,dog2,3532990,3732861,dog1,599959,599959,rainbow,0,0,TRUE,FALSE
