RECORDING_SESSION_LABEL	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
KidSubjExpt2-60	RIGHT	.	0	.	.	0	Pre_Targ 	1	.	0	0	0	Same_Control_bus2.jpg	"(477, 554)"	bus2.jpg	Reward	458339	457174	Same	Control
KidSubjExpt2-60	RIGHT	.	0	.	.	0	Pre_D1 	2	.	0	0	0	Same_Control_bus2.jpg	"(477, 554)"	bus2.jpg	Reward	458339	457174	Same	Control
KidSubjExpt2-60	RIGHT	.	0	.	.	0	Pre_D2 	3	.	0	0	0	Same_Control_bus2.jpg	"(477, 554)"	bus2.jpg	Reward	458339	457174	Same	Control
KidSubjExpt2-60	RIGHT	302.5	830	0.7131	0.6667	2	Pre_Targ 	1	.	1	1164	3	Same_Control_bike2.jpg	"(147, 90)"	bike2.jpg	Reward	476894	475728	Same	Control
KidSubjExpt2-60	RIGHT	340	334	0.2869	0.3333	1	Pre_D1 	2	.	1	1164	3	Same_Control_bike2.jpg	"(147, 90)"	bike2.jpg	Reward	476894	475728	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1164	3	Same_Control_bike2.jpg	"(147, 90)"	bike2.jpg	Reward	476894	475728	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_Targ 	1	.	0	1592	2	Same_Ambig_spoon2.jpg	"(147, 90)"	spoon2.jpg	Reward	489184	488018	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1592	2	Same_Ambig_spoon2.jpg	"(147, 90)"	spoon2.jpg	Reward	489184	488018	Same	Ambig
KidSubjExpt2-60	RIGHT	286	1592	1	1	2	Pre_D2 	3	.	1	1592	2	Same_Ambig_spoon2.jpg	"(147, 90)"	spoon2.jpg	Reward	489184	488018	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_Targ 	1	.	0	1208	3	Same_Ambig_tree2.jpg	"(477, 554)"	tree2.jpg	Reward	508072	506906	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1208	3	Same_Ambig_tree2.jpg	"(477, 554)"	tree2.jpg	Reward	508072	506906	Same	Ambig
KidSubjExpt2-60	RIGHT	273.33	1208	1	1	3	Pre_D2 	3	.	1	1208	3	Same_Ambig_tree2.jpg	"(477, 554)"	tree2.jpg	Reward	508072	506906	Same	Ambig
KidSubjExpt2-60	RIGHT	312.67	1624	1	1	3	Pre_Targ 	1	.	1	1624	3	Same_Control_car2.jpg	"(147, 90)"	car2.jpg	Reward	518602	517436	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1624	3	Same_Control_car2.jpg	"(147, 90)"	car2.jpg	Reward	518602	517436	Same	Control
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1624	3	Same_Control_car2.jpg	"(147, 90)"	car2.jpg	Reward	518602	517436	Same	Control
KidSubjExpt2-60	RIGHT	305.5	1170	1	1	2	Pre_Targ 	1	.	1	1170	2	Same_Ambig_toothbrush2.jpg	"(753, 90)"	toothbrush2.jpg	Reward	533238	532071	Same	Ambig
KidSubjExpt2-60	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1170	2	Same_Ambig_toothbrush2.jpg	"(753, 90)"	toothbrush2.jpg	Reward	533238	532071	Same	Ambig
