"Subj"	"trialnum"	"Label"	"StartTime"
"KidSubjExpt2-75"	"Same_Ambig_chair1.jpg"	0	1780
"KidSubjExpt2-75"	"Same_Ambig_dog1.jpg"	0	1803
"KidSubjExpt2-75"	"Same_Control_fish1.jpg"	1	1447
"KidSubjExpt2-75"	"Same_Control_flower1.jpg"	1	1227
"KidSubjExpt2-75"	"Same_Control_leaf1.jpg"	1	1284
"KidSubjExpt2-75"	"Same_Control_penguin1.jpg"	1	1188
"KidSubjExpt2-75"	"Same_Control_shoe1.jpg"	1	1433
"KidSubjExpt2-75"	"Same_Control_spoon1.jpg"	1	1512
"KidSubjExpt2-75"	"Same_Control_toothbrush1.jpg"	1	1698
"KidSubjExpt2-75"	"Same_Control_tree1.jpg"	1	1276
"KidSubjExpt2-74"	"Same_Ambig_fish2.jpg"	1	1242
"KidSubjExpt2-74"	"Same_Ambig_flower2.jpg"	1	779
"KidSubjExpt2-74"	"Same_Ambig_leaf2.jpg"	1	1095
"KidSubjExpt2-74"	"Same_Ambig_penguin2.jpg"	1	1187
"KidSubjExpt2-74"	"Same_Ambig_shoe2.jpg"	0	840
"KidSubjExpt2-74"	"Same_Ambig_toothbrush2.jpg"	0	995
"KidSubjExpt2-74"	"Same_Ambig_tree2.jpg"	0	1449
"KidSubjExpt2-74"	"Same_Control_bike2.jpg"	1	1342
"KidSubjExpt2-74"	"Same_Control_bird2.jpg"	1	2532
"KidSubjExpt2-74"	"Same_Control_book2.jpg"	1	1430
"KidSubjExpt2-74"	"Same_Control_bus2.jpg"	1	1023
"KidSubjExpt2-74"	"Same_Control_car2.jpg"	1	799
"KidSubjExpt2-74"	"Same_Control_cat2.jpg"	1	549
"KidSubjExpt2-74"	"Same_Control_chair2.jpg"	1	1159
"KidSubjExpt2-73"	"Same_Ambig_bike1.jpg"	1	3652
"KidSubjExpt2-73"	"Same_Ambig_bird1.jpg"	1	1108
"KidSubjExpt2-73"	"Same_Ambig_book1.jpg"	1	1003
"KidSubjExpt2-73"	"Same_Ambig_bus1.jpg"	1	1276
"KidSubjExpt2-73"	"Same_Ambig_car1.jpg"	1	1033
"KidSubjExpt2-73"	"Same_Ambig_cat1.jpg"	1	816
"KidSubjExpt2-73"	"Same_Ambig_chair1.jpg"	1	1095
"KidSubjExpt2-73"	"Same_Ambig_dog1.jpg"	1	1855
"KidSubjExpt2-73"	"Same_Control_fish1.jpg"	1	1517
"KidSubjExpt2-73"	"Same_Control_flower1.jpg"	1	1182
"KidSubjExpt2-73"	"Same_Control_leaf1.jpg"	1	1012
"KidSubjExpt2-73"	"Same_Control_penguin1.jpg"	1	1321
"KidSubjExpt2-73"	"Same_Control_shoe1.jpg"	1	1051
"KidSubjExpt2-73"	"Same_Control_spoon1.jpg"	1	1129
"KidSubjExpt2-73"	"Same_Control_toothbrush1.jpg"	1	1123
"KidSubjExpt2-73"	"Same_Control_tree1.jpg"	1	1437
"KidSubjExpt2-72"	"Same_Ambig_bike1.jpg"	1	1229
"KidSubjExpt2-72"	"Same_Ambig_bird1.jpg"	1	5380
"KidSubjExpt2-72"	"Same_Ambig_book1.jpg"	1	3222
"KidSubjExpt2-72"	"Same_Ambig_bus1.jpg"	0	1521
"KidSubjExpt2-72"	"Same_Ambig_car1.jpg"	1	1335
"KidSubjExpt2-72"	"Same_Ambig_cat1.jpg"	0	1022
"KidSubjExpt2-72"	"Same_Ambig_chair1.jpg"	1	2188
"KidSubjExpt2-72"	"Same_Ambig_dog1.jpg"	0	1547
"KidSubjExpt2-72"	"Same_Control_fish1.jpg"	1	1333
"KidSubjExpt2-72"	"Same_Control_flower1.jpg"	1	1158
"KidSubjExpt2-72"	"Same_Control_leaf1.jpg"	1	1012
"KidSubjExpt2-72"	"Same_Control_penguin1.jpg"	1	1267
"KidSubjExpt2-72"	"Same_Control_shoe1.jpg"	0	1569
"KidSubjExpt2-72"	"Same_Control_spoon1.jpg"	1	1524
"KidSubjExpt2-72"	"Same_Control_toothbrush1.jpg"	1	999
"KidSubjExpt2-72"	"Same_Control_tree1.jpg"	1	1842
"KidSubjExpt2-71"	"Same_Ambig_bike2.jpg"	1	1495
"KidSubjExpt2-71"	"Same_Ambig_bird2.jpg"	1	1715
"KidSubjExpt2-71"	"Same_Ambig_book2.jpg"	1	1738
"KidSubjExpt2-71"	"Same_Ambig_bus2.jpg"	1	3071
"KidSubjExpt2-71"	"Same_Ambig_car2.jpg"	1	1586
"KidSubjExpt2-71"	"Same_Ambig_cat2.jpg"	1	1383
"KidSubjExpt2-71"	"Same_Ambig_chair2.jpg"	1	5093
"KidSubjExpt2-71"	"Same_Ambig_dog2.jpg"	1	1861
"KidSubjExpt2-71"	"Same_Control_fish2.jpg"	1	1909
"KidSubjExpt2-71"	"Same_Control_flower2.jpg"	1	2081
"KidSubjExpt2-71"	"Same_Control_leaf2.jpg"	1	1798
"KidSubjExpt2-71"	"Same_Control_penguin2.jpg"	1	1842
"KidSubjExpt2-71"	"Same_Control_shoe2.jpg"	1	1284
"KidSubjExpt2-71"	"Same_Control_spoon2.jpg"	1	1357
"KidSubjExpt2-71"	"Same_Control_toothbrush2.jpg"	1	3009
"KidSubjExpt2-71"	"Same_Control_tree2.jpg"	1	1343
"KidSubjExpt2-70"	"Same_Ambig_fish2.jpg"	1	1091
"KidSubjExpt2-70"	"Same_Ambig_flower2.jpg"	1	942
"KidSubjExpt2-70"	"Same_Ambig_leaf2.jpg"	1	1221
"KidSubjExpt2-70"	"Same_Ambig_penguin2.jpg"	1	1678
"KidSubjExpt2-70"	"Same_Ambig_shoe2.jpg"	1	1006
