"Subj"	"trialnum"	"Label"
"ab-5.edf"	"Homoph_Ambig_lock1.jpg"	1
"ab-5.edf"	"Homoph_Ambig_mouse1.jpg"	1
"ab-5.edf"	"Homoph_Ambig_mussel1.jpg"	0
"ab-5.edf"	"Homoph_Ambig_pie1.jpg"	1
"ab-5.edf"	"Homoph_Ambig_pipe1.jpg"	0
"ab-5.edf"	"Homoph_Ambig_razor1.jpg"	0
"ab-5.edf"	"Homoph_Ambig_sale1.jpg"	1
"ab-5.edf"	"Homoph_Ambig_sponge1.jpg"	1
"ab-5.edf"	"Homoph_Control_bat1.jpg"	1
"ab-5.edf"	"Homoph_Control_bow1.jpg"	1
"ab-5.edf"	"Homoph_Control_button1.jpg"	1
"ab-5.edf"	"Homoph_Control_cork1.jpg"	1
"ab-5.edf"	"Homoph_Control_diamond1.jpg"	1
"ab-5.edf"	"Homoph_Control_flour1.jpg"	1
"ab-5.edf"	"Homoph_Control_glass1.jpg"	1
"ab-5.edf"	"Homoph_Control_horn1.jpg"	0
"ag-2.edf"	"Homoph_Ambig_lock1.jpg"	1
"ag-2.edf"	"Homoph_Ambig_mouse1.jpg"	1
"ag-2.edf"	"Homoph_Ambig_mussel1.jpg"	0
"ag-2.edf"	"Homoph_Ambig_pie1.jpg"	1
"ag-2.edf"	"Homoph_Ambig_pipe1.jpg"	1
"ag-2.edf"	"Homoph_Ambig_razor1.jpg"	1
"ag-2.edf"	"Homoph_Ambig_sale1.jpg"	0
"ag-2.edf"	"Homoph_Ambig_sponge1.jpg"	1
"ag-2.edf"	"Homoph_Control_bat1.jpg"	0
"ag-2.edf"	"Homoph_Control_bow1.jpg"	1
"ag-2.edf"	"Homoph_Control_button1.jpg"	0
"ag-2.edf"	"Homoph_Control_cork1.jpg"	1
"ag-2.edf"	"Homoph_Control_diamond1.jpg"	1
"ag-2.edf"	"Homoph_Control_flour1.jpg"	1
"ag-2.edf"	"Homoph_Control_glass1.jpg"	1
"ag-2.edf"	"Homoph_Control_horn1.jpg"	1
"bj-6.edf"	"Homoph_Ambig_bat1.jpg"	1
"bj-6.edf"	"Homoph_Ambig_bow1.jpg"	0
"bj-6.edf"	"Homoph_Ambig_button1.jpg"	0
"bj-6.edf"	"Homoph_Ambig_cork1.jpg"	0
"bj-6.edf"	"Homoph_Ambig_diamond1.jpg"	1
"bj-6.edf"	"Homoph_Ambig_flour1.jpg"	1
"bj-6.edf"	"Homoph_Ambig_glass1.jpg"	0
"bj-6.edf"	"Homoph_Ambig_horn1.jpg"	1
"bj-6.edf"	"Homoph_Control_lock1.jpg"	0
"bj-6.edf"	"Homoph_Control_mouse1.jpg"	1
"bj-6.edf"	"Homoph_Control_mussel1.jpg"	0
"bj-6.edf"	"Homoph_Control_pie1.jpg"	1
"bj-6.edf"	"Homoph_Control_pipe1.jpg"	1
"bj-6.edf"	"Homoph_Control_razor1.jpg"	0
"bj-6.edf"	"Homoph_Control_sale1.jpg"	0
"bj-6.edf"	"Homoph_Control_sponge1.jpg"	0
"cac-3.edf"	"Homoph_Ambig_bat2.jpg"	1
"cac-3.edf"	"Homoph_Ambig_bow2.jpg"	1
"cac-3.edf"	"Homoph_Ambig_button2.jpg"	1
"cac-3.edf"	"Homoph_Ambig_cork2.jpg"	1
"cac-3.edf"	"Homoph_Ambig_diamond2.jpg"	0
"cac-3.edf"	"Homoph_Ambig_flour2.jpg"	0
"cac-3.edf"	"Homoph_Ambig_glass2.jpg"	1
"cac-3.edf"	"Homoph_Ambig_horn2.jpg"	1
"cac-3.edf"	"Homoph_Control_lock2.jpg"	1
"cac-3.edf"	"Homoph_Control_mouse2.jpg"	1
"cac-3.edf"	"Homoph_Control_mussel2.jpg"	0
"cac-3.edf"	"Homoph_Control_pie2.jpg"	0
"cac-3.edf"	"Homoph_Control_pipe2.jpg"	1
"cac-3.edf"	"Homoph_Control_razor2.jpg"	1
"cac-3.edf"	"Homoph_Control_sale2.jpg"	1
"cac-3.edf"	"Homoph_Control_sponge2.jpg"	1
"crj-8.edf"	"Homoph_Ambig_lock2.jpg"	1
"crj-8.edf"	"Homoph_Ambig_mouse2.jpg"	1
"crj-8.edf"	"Homoph_Ambig_mussel2.jpg"	0
"crj-8.edf"	"Homoph_Ambig_pie2.jpg"	0
"crj-8.edf"	"Homoph_Ambig_pipe2.jpg"	1
"crj-8.edf"	"Homoph_Ambig_razor2.jpg"	0
"crj-8.edf"	"Homoph_Ambig_sale2.jpg"	0
"crj-8.edf"	"Homoph_Ambig_sponge2.jpg"	0
"crj-8.edf"	"Homoph_Control_bat2.jpg"	1
"crj-8.edf"	"Homoph_Control_bow2.jpg"	1
"crj-8.edf"	"Homoph_Control_button2.jpg"	1
"crj-8.edf"	"Homoph_Control_cork2.jpg"	1
"crj-8.edf"	"Homoph_Control_diamond2.jpg"	1
"crj-8.edf"	"Homoph_Control_flour2.jpg"	1
"crj-8.edf"	"Homoph_Control_glass2.jpg"	1
"crj-8.edf"	"Homoph_Control_horn2.jpg"	1
"jc-7.edf"	"Homoph_Ambig_bat2.jpg"	1
"jc-7.edf"	"Homoph_Ambig_bow2.jpg"	1
"jc-7.edf"	"Homoph_Ambig_button2.jpg"	1
"jc-7.edf"	"Homoph_Ambig_cork2.jpg"	1
"jc-7.edf"	"Homoph_Ambig_diamond2.jpg"	0
"jc-7.edf"	"Homoph_Ambig_flour2.jpg"	1
"jc-7.edf"	"Homoph_Ambig_glass2.jpg"	0
"jc-7.edf"	"Homoph_Ambig_horn2.jpg"	0
"jc-7.edf"	"Homoph_Control_lock2.jpg"	1
"jc-7.edf"	"Homoph_Control_mouse2.jpg"	1
"jc-7.edf"	"Homoph_Control_mussel2.jpg"	0
"jc-7.edf"	"Homoph_Control_pie2.jpg"	1
"jc-7.edf"	"Homoph_Control_pipe2.jpg"	1
"jc-7.edf"	"Homoph_Control_razor2.jpg"	0
"jc-7.edf"	"Homoph_Control_sale2.jpg"	0
"jc-7.edf"	"Homoph_Control_sponge2.jpg"	0
"ma19.edf"	"Homoph_Ambig_bat2.jpg"	1
"ma19.edf"	"Homoph_Ambig_bow2.jpg"	NA
"ma19.edf"	"Homoph_Ambig_button2.jpg"	1
"ma19.edf"	"Homoph_Ambig_cork2.jpg"	1
"ma19.edf"	"Homoph_Ambig_diamond2.jpg"	0
"ma19.edf"	"Homoph_Ambig_flour2.jpg"	0
"ma19.edf"	"Homoph_Ambig_glass2.jpg"	1
"ma19.edf"	"Homoph_Ambig_horn2.jpg"	1
"ma19.edf"	"Homoph_Control_lock2.jpg"	1
"ma19.edf"	"Homoph_Control_mouse2.jpg"	1
"ma19.edf"	"Homoph_Control_mussel2.jpg"	1
"ma19.edf"	"Homoph_Control_pie2.jpg"	1
"ma19.edf"	"Homoph_Control_pipe2.jpg"	1
