,Ambig_trial_ID,foil_duration_L,foil_duration_R,foil_fixations_L,foil_fixations_R,informative_foil,participant_number,target_duration_L,target_duration_R,target_fixations_L,target_fixations_R
218,A7,0,0,0,0,0,P25,199958,199958,1,1
219,A4,0,0,0,0,0,P25,333263,333263,2,2
220,C1,0,0,0,0,1,P27,433150,466424,1,1
221,C2,299920,333238,1,1,1,P27,0,0,0,0
222,C4,0,0,0,0,1,P27,466597,466597,1,1
223,C6,166432,166432,1,1,1,P27,0,0,0,0
224,C7,0,0,0,0,1,P27,0,0,0,0
225,C5,366523,433180,1,2,1,P27,0,0,0,0
226,C6,0,0,0,0,0,P15,466544,466544,1,1
227,C7,0,0,0,0,0,P15,466461,466461,1,1
228,C3,0,0,0,0,0,P15,466711,466711,1,1
229,C1,0,0,0,0,0,P15,433198,433198,1,1
230,C5,199935,199935,1,1,1,P15,200049,200049,1,1
231,C8,133277,366514,1,2,1,P15,0,0,0,0
232,C2,133329,133329,1,1,0,P15,0,0,0,0
233,C4,0,0,0,0,0,P15,433188,433188,2,2
